,metricType,symbol,metric.bookValuePerShareAnnual,metric.bookValuePerShareQuarterly,metric.cashFlowPerShareAnnual,metric.cashFlowPerShareTTM,metric.cashPerSharePerShareAnnual,metric.cashPerSharePerShareQuarterly,metric.dividendPerShare5Y,metric.dividendPerShareAnnual,metric.dividendsPerShareTTM,metric.ebitdPerShareTTM,metric.epsBasicExclExtraItemsAnnual,metric.epsBasicExclExtraItemsTTM,metric.epsExclExtraItemsAnnual,metric.epsExclExtraItemsTTM,metric.epsInclExtraItemsAnnual,metric.epsInclExtraItemsTTM,metric.epsNormalizedAnnual,metric.freeCashFlowPerShareTTM,metric.revenuePerShareAnnual,metric.revenuePerShareTTM,metric.tangibleBookValuePerShareAnnual,metric.tangibleBookValuePerShareQuarterly
0,perShare,AAPL,20.36534,20.41775,14.5847,15.20928,22.63148,24.43854,2.456,3,3.04,17.09711,11.96578,12.75492,11.88579,12.66158,11.88579,12.66158,11.88579,10.91645,55.96448,58.58356,20.36534,20.41775
1,perShare,BAC,29.96894,29.96894,2.93628,2.93606,18.28398,18.28398,0.408,0.66,0.66,5.55096,2.76854,2.76807,2.75318,2.75277,2.75318,2.75277,3.00194,5.91332,9.66271,9.66199,21.97326,21.97326
2,perShare,AMZN,124.6185,124.6185,54.2004,66.31778,110.4839,110.4839,,,0,72.15293,23.45749,23.47691,22.99206,23.01774,22.99206,23.01774,22.99206,43.00497,556.5912,557.142,86.86145,94.99197
3,perShare,T,25.39384,25.39384,5.87765,5.87745,1.67205,1.67205,1.96,2.04,2.04,8.05879,1.89917,1.89906,1.89453,1.89436,1.89453,1.89436,2.23066,1.95217,24.65882,24.65798,-16.49129,-16.49129
5,perShare,MO,3.3488,3.3488,-0.52862,-0.52763,1.13941,1.13941,2.604,3.24,3.24,5.78515,-0.65062,-0.65541,-0.65062,-0.65541,-0.69556,-0.7016,2.97673,0.81445,13.43499,13.43679,-6.26594,-6.26594
6,perShare,DAL,23.8934,23.8934,11.25268,11.25393,4.48371,4.48371,0.991,1.505,1.505,14.15243,7.32258,7.34226,7.30015,7.31971,7.30015,7.31971,7.30015,3.84374,71.98622,72.01379,0.64409,0.64409
7,perShare,AA,22.15754,22.15754,-0.75676,-0.75472,4.7365,4.7365,,,0,8.56604,-6.08108,-6.06298,-6.08108,-6.06298,-6.08108,-6.06298,-2.46919,1.65499,56.39459,56.24259,21.06906,22.15754
8,perShare,AXP,28.48272,28.48272,9.47711,9.47425,29.37531,29.37531,1.328,1.6,1.6,11.50136,8.00845,8.00966,7.98916,7.99036,7.98916,7.99036,7.98916,12.72508,54.35542,54.33905,24.06049,28.48272
9,perShare,DD,55.49547,55.49547,3.3713,3.36972,2.08513,2.08513,,2.16,2.16,7.98232,-0.95136,-0.94386,-0.95136,-0.94531,0.66595,0.66681,1.3776,-13.37842,28.82487,28.81136,-7.79485,-7.79485
10,perShare,BABA,27.19298,39.50819,6.27405,10.86016,11.06978,18.76914,,,0,8.01943,4.7861,9.29875,4.70763,9.16078,4.70763,9.16078,4.83413,10.662,20.25163,26.084,9.03743,21.54996
11,perShare,ABT,17.63855,17.63855,3.71421,3.71434,2.34893,2.34893,1.092,1.28,1.28,4.31458,2.03676,2.03628,2.0219,2.02145,2.07019,2.06985,2.12158,1.25103,17.91353,17.91417,-5.18127,-5.18127
13,perShare,AMAT,8.96725,9.42329,3.22222,3.41635,3.94978,4.30903,0.524,0.82,0.83,4.18172,2.86233,3.05497,2.8381,3.0247,2.86349,3.0247,2.89974,2.37199,15.4582,16.05238,5.08624,5.57018
14,perShare,AMGN,16.3561,16.3561,16.49918,16.50595,15.06764,15.06764,4.568,5.8,5.8,19.5154,12.96198,12.94968,12.87685,12.87594,12.87685,12.87594,12.94308,8.25133,38.36125,38.377,-41.33074,-41.33074
15,perShare,AAL,-0.27557,-0.27557,9.91741,9.01031,8.93502,8.93502,0.4,0.4,0.4,13.61337,3.80275,3.81132,3.795,3.80463,3.795,3.80463,5.25582,-1.42031,103.0187,103.0187,-14.69632,-14.69632
16,perShare,AIG,75.48859,75.48859,10.23595,10.23598,3.28276,3.28276,1.186,1.28,1.28,19.28592,3.73881,3.73861,3.68517,3.68422,3.73913,3.73777,4.97855,-2.39121,56.12066,56.12085,75.48859,75.48859
17,perShare,ALL,81.49843,81.49843,15.38231,15.96343,1.05956,1.05956,1.528,1.96,1.96,38.32721,14.2535,14.3048,14.02699,14.06467,14.02699,14.06467,14.47811,11.7185,134.1019,134.0718,73.52038,73.52038
18,perShare,ADBE,21.83144,21.66667,7.50873,8.19333,8.65983,8.63561,,,0,8.75477,6.0754,6.67771,6.01013,6.60525,6.00412,6.59921,6.33064,8.79577,22.72566,23.79744,-3.90101,-3.83437
19,perShare,GOOGL,292.6511,292.6511,65.84154,65.84151,173.8616,173.8616,,,0,68.11048,49.58591,49.60873,49.16284,49.18188,49.16284,49.18188,51.26832,44.33716,231.7023,231.7022,259.8139,259.8139
