,symbol,metric.netIncomeEmployeeAnnual,metric.revenueEmployeeAnnual,metric.receivablesTurnoverAnnual,metric.freeOperatingCashFlow/revenue5Y,metric.freeOperatingCashFlow/revenueTTM,metric.grossMargin5Y,metric.grossMarginAnnual,metric.netProfitMargin%Annual,metric.netProfitMargin5Y,metric.dividendGrowthRate5Y,metric.focfCagr5Y,metric.revenueGrowth5Y,metric.totalDebtCagr5Y,metric.netDebtAnnual,metric.peNormalizedAnnual,metric.pfcfShareAnnual,metric.currentEv/freeCashFlowAnnual,metric.freeCashFlowAnnual,metric.longTermDebt/equityAnnual,metric.netInterestCoverageAnnual,metric.payoutRatioAnnual,metric.quickRatioAnnual,metric.totalDebt/totalEquityAnnual,metric.dividendYield5Y,metric.dividendYieldIndicatedAnnual,metric.capitalSpendingGrowth5Y,metric.inventoryTurnoverAnnual,comp_clust_id,Unnamed: 0,Ticker,Name,Exchange,Category Name,Country,count
117,AEIS,8575.44,119755.3,4.5471699999999995,17.40819,2.94113,48.99178,40.00923,7.1608,20.10631,4.054406,-20.60598,16.51925,31.254264000000003,-10.027999999999999,23.802020000000002,71.3126,28.63605,23.204,47.51298,20.9613805,0.0,1.98768,50.09901,1.6296205,3.945642,47.5223,2.8859,621,186,AEIS,"Advanced Energy Industries, Inc.",NMS,Diversified Electronics,USA,1
388,AGFS,-209906.4,589480.1,2.49041,9.43013,9.339369999999999,65.76218,73.51071999999998,-35.60874000000001,-26.70795,-5.006921,-21.85707,-1.1848100000000001,51.09764000000001,373.45099999999996,41.839784,5.09276,24.672810000000002,15.883,121.9391,-0.51436,48.677926,2.20427,123.3712,4.0948905,6.5142975000000005,26.288390000000003,1.89968,621,742,AGFS,"AgroFresh Solutions, Inc.",NMS,Conglomerates,USA,1
507,BHE,2220.379,214985.3,4.14746,3.8271599999999997,1.53129,8.89434,8.83587,1.03281,2.1973700000000003,9.360812999999998,-17.34945,-4.10591,73.04590999999998,-199.821,17.4857,19.523120000000002,35.56455,34.731,13.68818,17.39929,96.56777,1.9164599999999998,14.55778,3.7453995000000004,3.43716,-5.0017,6.6173399999999996,621,2173,BHE,"Benchmark Electronics, Inc.",NYQ,Printed Circuit Boards,USA,1
903,DDD,-27349.57,247091.1,5.3307199999999995,-0.6603399999999999,1.20745,46.25557,44.19705,-11.06862,-27.0822,-8.9100875,-22.760820000000002,-0.7629600000000001,43.63603,-75.039,22.5535825,93.76923000000001,110.302282,7.596,10.68295,-10.31214,190.07561299999998,1.60811,11.22761,3.6315475,5.076181,0.4265,2.87434,621,3909,DDD,3D Systems Corporation,NYQ,Computer Peripherals,USA,1
940,CSII,-368.7635,358665.2,7.37707,-3.96526,0.43992,80.42661,80.77551,-0.10282000000000001,-8.660919999999999,-3.6080735,-13.429795,12.66746,54.27151,-101.7,41.984313,181.8811,110.8538025,6.653,14.175629999999998,32.1205135,106.99569049999998,3.8261199999999995,14.175629999999998,3.316831,6.350030500000001,-23.33028,2.75106,621,3951,CSII,"Cardiovascular Systems, Inc.",NMS,Medical Appliances & Equipment,USA,1
1539,FNHC,2995.5559999999996,1229514.0,7.741933499999999,9.87277,6.98066,31.785716,31.3095685,0.24364,3.5057099999999997,9.69612,-13.69711,15.636629999999998,57.54199000000001,-34.839,144.2741,5.49416,27.71295250000001,28.967,39.61591,1.06617,426.2117,1.4432025,39.61591,1.37121,3.21429,16.05431,15.2853285,621,4904,FNHC,Federated National Holding Company,NGM,Property & Casualty Insurance,USA,1
1556,ZIXI,-35251.5,417395.9,10.2408,13.36723,1.32505,70.5904,55.654219999999995,-8.44558,3.78535,-1.2154624999999994,-25.35315,28.06461,36.806300500000006,168.805,94.4696015,80.14562,53.3239605,2.298,121.0719,-0.91556,46.1231075,0.9808699999999998,123.2286,2.5217230000000006,5.171718,27.920659999999998,10.184986,621,4929,ZIXI,Zix Corporation,NMS,Application Software,USA,1
2366,HY,4662.42,419337.6,7.0503300000000015,0.22000999999999998,0.18227000000000002,16.5685,16.53503,1.11185,1.89942,2.56877,-29.18842,3.53295,55.56585,222.4,16.51224,104.9727,96.18871999999999,6.0,37.60794,6.38202,58.65922,0.72938,52.728269999999995,1.86084,3.3839599999999996,0.49001999999999996,5.02515,621,10616,HY,"Hyster-Yale Materials Handling, Inc.",NYQ,Trucks & Other Vehicles,USA,1
3363,NXT.AX,210335.04785000003,1132281.9126304565,5.70465,-124.3769,-183.8843,71.9074,76.22504,-5.4775199999999975,1.83171,12.112349499999999,-22.7843225,29.99189,67.3435,286.1626720993884,213.33775699999998,142.2650005,113.6134445,-199.3151331157336,98.95042,0.8274,31.44918,1.0878174999999999,99.07164,2.080178,3.8720245,28.2864,4.483174999999999,621,16664,NXT.AX,NEXTDC Limited,ASX,Data Storage Devices,Australia,1
3580,APE.AX,135277.11733500002,538233.1515982059,24.94197,0.37989,0.34431999999999996,16.78238,17.01517,-1.38354,1.46064,-10.312660000000001,-16.04518,15.271939999999999,37.83562,1738.335630682067,9.260480000000001,45.02647,92.92914249999998,12.477364308899087,168.7663,22.9617525,45.733065,0.36827,347.0444,3.5714300000000003,7.19373,52.784240000000004,4.4845,621,37773,APE.AX,A.P. Eagers Limited,ASX,Auto Dealerships,Australia,1
