,metricType,symbol,metric.currentEv/freeCashFlowAnnual,metric.currentEv/freeCashFlowTTM,metric.currentRatioAnnual,metric.currentRatioQuarterly,metric.freeCashFlowAnnual,metric.freeCashFlowTTM,metric.longTermDebt/equityAnnual,metric.longTermDebt/equityQuarterly,metric.netInterestCoverageAnnual,metric.netInterestCoverageTTM,metric.payoutRatioAnnual,metric.payoutRatioTTM,metric.quickRatioAnnual,metric.quickRatioQuarterly,metric.totalDebt/totalEquityAnnual,metric.totalDebt/totalEquityQuarterly
0,financialStrength,AAPL,24.63068,22.92248,1.54013,1.59778,44777,49880,101.4576,104.6621,,,25.57007,24.48937,1.50129,1.55768,119.4048,121.6707
1,financialStrength,BAC,,,,,55843,55843,81.79525,81.79525,,,23.64028,23.64028,,,161.458,161.458
2,financialStrength,AMZN,89.50989,56.6192,1.09705,1.09705,21653,21653,65.27393,65.27393,18.93359,18.95698,,0,0.86363,0.86363,67.37995,67.37995
3,financialStrength,T,41.24717,41.24717,0.79466,0.79466,14345,14345,82.1345,82.1345,3.77371,3.74544,108.1151,108.1151,0.7531,,88.56048,88.56048
4,financialStrength,GOOGL,28.40786,28.40786,3.37405,3.37405,30972,30972,2.2607,2.2607,,,0,0,3.35196,3.35196,2.2607,2.2607
5,financialStrength,MO,,,0.59016,0.59016,1522,1522,434.6191,434.6191,,,,,0.30964,0.30964,450.6911,450.6911
6,financialStrength,DAL,15.82913,15.85127,0.40829,0.40829,2509,2509,57.77445,57.77445,29.86099,29.99099,20.57898,20.5833,0.34637,0.34637,72.66571,72.66571
7,financialStrength,AA,,,1.37729,1.37729,307,307,43.75,43.75,4.73514,4.73514,,,0.73586,0.73586,43.77432,43.77432
8,financialStrength,AXP,36.06486,36.06486,,,10565,10565,250.6827,250.6827,,,20.47957,20.47957,,,596.2637,596.2637
9,financialStrength,DD,,,1.19806,1.19806,-9989,-9989,33.22273,33.22273,4.32707,4.32707,,,0.68057,0.68057,42.56716,42.56716
10,financialStrength,BABA,44.46643,16.70333,1.30146,1.75055,16287.72,28182.86,22.40821,15.71622,,,0,0,1.26037,,26.90973,16.27679
11,financialStrength,ABT,56.80487,57.00656,1.44224,1.44224,2228,2228,51.83672,53.59303,8.01029,8.01029,65.06526,65.06526,1.04492,1.04492,56.59097,58.34727
12,financialStrength,UAA,18.69657,18.69657,1.90028,1.90028,361.918,361.918,27.56572,27.56572,8.93135,11.62404,0,0,1.27281,1.27281,27.56572,27.56572
13,financialStrength,AMAT,22.10635,19.94042,2.29503,2.35697,2035,2219,57.37765,54.43418,36.15789,35.07921,28.70992,27.37885,1.51383,1.59707,64.68225,61.36259
14,financialStrength,AMGN,24.35245,24.35245,1.4367,1.4367,5023,5023,278.6106,278.6106,18.13619,18.04851,45.33282,45.33282,1.15746,1.15746,309.1389,309.1389
15,financialStrength,AAL,,,0.44815,0.44815,-631,-631,,,3.83678,3.85036,10.67616,10.67616,0.34706,0.34706,,
16,financialStrength,AIG,,,,,-2127,-2127,51.48687,51.48687,8.57375,8.57375,33.98414,33.98414,,,53.82566,53.82566
17,financialStrength,ALL,,,,,3909,3909,25.50581,25.50581,37.11927,37.11927,14.06584,14.06584,,,25.50581,25.50581
18,financialStrength,ADBE,44.41216,40.75755,0.79294,1.2347,4027.334,4310.154,9.39135,39.30244,41.07275,36.79705,0,0,,,39.29723,39.30244
19,financialStrength,ACN,31.63208,26.46964,1.39674,1.37823,4166.219,3966.799,0.11276,0.08519,132.5486,303.8268,38.95546,39.1941,,,0.15725,0.12847
20,financialStrength,ABBV,46.20817,46.20817,3.17735,3.17735,6406,6406,,,9.78324,9.78324,83.30783,83.33971,3.06102,3.06102,,
21,financialStrength,MT.AS,,,1.34429,1.34429,1964.285,1964.285,29.77856,29.77856,2.25694,0.99617,,,0.53178,0.53178,37.22645,37.22645
22,financialStrength,LLY,69.58565,69.58565,1.16428,1.16428,1073.3,1073.3,530.051,530.051,18.08089,18.79708,52.40518,52.40518,0.89331,0.89331,587.5638,587.5638
23,financialStrength,AGN,,,1.00506,1.00506,5830.8,5830.8,31.14213,31.14213,0.2825,0.01459,,,0.90271,0.90271,38.93347,38.93347
