,metricType,symbol,metric.bookValueShareGrowth5Y,metric.capitalSpendingGrowth5Y,metric.dividendGrowthRate5Y,metric.ebitdaCagr5Y,metric.ebitdaInterimCagr5Y,metric.epsGrowth3Y,metric.epsGrowth5Y,metric.epsGrowthQuarterlyYoy,metric.epsGrowthTTMYoy,metric.focfCagr5Y,metric.netMarginGrowth5Y,metric.revenueGrowth3Y,metric.revenueGrowth5Y,metric.revenueGrowthQuarterlyYoy,metric.revenueGrowthTTMYoy,metric.revenueShareGrowth5Y,metric.tbvCagr5Y,metric.totalDebtCagr5Y
0,growth,AAPL,1.38123,1.35289,11.2299,4.79747,2.89968,12.6869,12.99321,19.34191,6.08985,2.92073,-0.35063,6.45813,7.31487,8.90642,2.32061,13.39077,-2.517,25.07771
1,growth,BAC,5.29783,,38.20842,7.3676,7.3676,22.75995,45.45327,5.57835,5.46688,14.4085,36.1473,11.74155,6.61499,-5.10204,6.69023,3.55274,3.2392,-2.10678
2,growth,AMZN,40.0871,28.07419,,50.19145,49.13758,67.42887,,12.74024,16.05445,61.86064,,27.29844,25.81346,20.79632,20.4537,23.64296,45.39267,21.04941
3,growth,T,7.98253,-1.72256,2.04138,12.67664,12.67664,-3.35434,8.91107,-42.27238,-31.64462,89.50143,10.19784,3.42405,6.46819,-2.44202,6.11223,-0.56557,,14.79661
4,growth,GOOGL,13.89486,16.41308,,17.24447,17.66161,20.81725,19.92015,20.23469,12.541,20.86074,0.55786,21.48595,19.65096,17.31083,18.30009,19.25488,16.41129,-2.75616
5,growth,MO,16.97884,8.57992,12.0189,6.74163,6.54525,,,-231.1565,-117.3299,20.14404,,-0.82773,0.47503,-1.75008,-1.00142,1.62055,,13.79933
6,growth,DAL,17.47591,17.02459,30.64039,11.30406,31.52641,9.52559,56.40866,14.6129,28.76793,0.50168,44.09004,6.0161,3.09509,6.48855,5.78109,8.54921,,2.92679
7,growth,AA,-17.53141,-3.11618,,-5.61203,,,,-706.9671,-556.646,-5.0596,,3.8394,-4.5191,-27.15311,-22.15922,-4.78193,-17.60965,39.39567
8,growth,AXP,7.10524,6.60059,10.37167,-0.89096,-0.54192,12.45946,7.53581,17.54216,9.11663,3.83233,-2.52791,7.7775,5.47437,7.99005,8.38438,10.5737,3.02009,5.30105
9,growth,DD,,,-26.85745,,,,,-50.39317,-353.829,,,-23.55703,,-4.63625,-4.78888,,,
10,growth,BABA,60.97755,49.34434,,29.55949,38.28329,6.18768,27.54248,54.70443,145.6085,40.1034,-14.00792,55.02738,48.31799,37.66947,41.5946,44.87048,44.81807,26.73591
11,growth,ABT,4.42139,8.74759,7.16645,12.25401,13.46948,41.29358,12.39922,41.59599,45.24415,12.14634,5.83555,15.22821,9.52087,7.07019,4.33645,6.20181,,18.95916
