,metricType_x,symbol,metric.bookValuePerShareAnnual,metric.bookValuePerShareQuarterly,metric.cashFlowPerShareAnnual,metric.cashFlowPerShareTTM,metric.cashPerSharePerShareAnnual,metric.cashPerSharePerShareQuarterly,metric.dividendPerShare5Y,metric.dividendPerShareAnnual,metric.dividendsPerShareTTM,metric.ebitdPerShareTTM,metric.epsBasicExclExtraItemsAnnual,metric.epsBasicExclExtraItemsTTM,metric.epsExclExtraItemsAnnual,metric.epsExclExtraItemsTTM,metric.epsInclExtraItemsAnnual,metric.epsInclExtraItemsTTM,metric.epsNormalizedAnnual,metric.freeCashFlowPerShareTTM,metric.revenuePerShareAnnual,metric.revenuePerShareTTM,metric.tangibleBookValuePerShareAnnual,metric.tangibleBookValuePerShareQuarterly,metricType_y,metric.assetTurnoverAnnual,metric.assetTurnoverTTM,metric.inventoryTurnoverAnnual,metric.inventoryTurnoverTTM,metric.netIncomeEmployeeAnnual,metric.netIncomeEmployeeTTM,metric.receivablesTurnoverAnnual,metric.receivablesTurnoverTTM,metric.revenueEmployeeAnnual,metric.revenueEmployeeTTM,metric.roaRfy,metric.roaa5Y,metric.roae5Y,metric.roaeTTM,metric.roeRfy,metric.roeTTM,metric.roi5Y,metric.roiAnnual,metric.roiTTM
0,perShare,AAPL,20.36534,20.41775,14.5847,15.20928,22.63148,24.43854,2.456,3.0,3.04,17.09711,11.96578,12.75492,11.88579,12.66158,11.88579,12.66158,11.88579,10.91645,55.96448,58.58356,20.36534,20.41775,management,0.73888,0.74946,40.13446,36.56687,410825.3,419905.1,11.28444,13.71081,1934379.0,1953891.0,15.69236,16.0985,44.714659999999995,55.46829,55.91721999999999,16.1064,22.4014,22.89958,22.83302
1,perShare,BAC,29.968940000000003,29.968940000000003,2.93628,2.93606,18.28398,18.28398,0.408,0.66,0.66,5.55096,2.7685400000000002,2.7680700000000003,2.75318,2.75277,2.75318,2.75277,3.0019400000000003,5.91332,9.66271,9.66199,21.97326,21.97326,management,,,,,133155.3,,,,442932.0,,1.14564,0.9743700000000001,8.51805,10.73393,10.73393,1.14564,,,
2,perShare,AMZN,124.6185,124.6185,54.2004,66.31778,110.4839,110.4839,,,0.0,72.15293,23.45749,23.47691,22.992060000000002,23.01774,22.992060000000002,23.01774,22.992060000000002,43.00497,556.5912,557.1419999999999,86.86145,94.99197,management,1.44638,1.4463700000000002,8.78851,8.78851,16052.58,14538.85,15.07494,15.07489,388131.4,351530.1,5.9820199999999994,4.61216,19.03761,21.9451,21.9451,5.9820199999999994,8.386660000000001,10.01498,10.01498
3,perShare,T,25.39384,25.39384,5.87765,5.87745,1.67205,1.67205,1.96,2.04,2.04,8.05879,1.89917,1.8990599999999997,1.8945299999999998,1.8943599999999998,1.8945299999999998,1.8943599999999998,2.23066,1.9521700000000002,24.658820000000002,24.65798,-16.49129,-16.49129,management,0.33445,0.33445,29.863709999999998,,58268.48,60873.98,6.97392,6.97392,705031.1,736556.9,2.76411,3.20867,9.61561,7.5479899999999995,7.5479899999999995,2.76411,3.7515300000000003,3.24593,3.24593
4,perShare,MO,3.3488,3.3488,-0.52862,-0.52763,1.13941,1.13941,2.6039999999999996,3.24,3.24,5.78515,-0.65062,-0.65541,-0.65062,-0.65541,-0.6955600000000001,-0.7016,2.97673,0.81445,13.434989999999999,13.43679,-6.2659400000000005,-6.2659400000000005,management,0.47952,0.47952,5.362019999999999,5.362019999999999,-155641.0,-166027.4,170.8163,170.8163,3219231.0,3439726.0,-2.31834,14.81611,63.87611,-11.55695,-11.57599,-2.31452,19.295370000000002,-3.2292799999999997,-3.22396
5,perShare,DAL,23.8934,23.8934,11.25268,11.25393,4.483709999999999,4.483709999999999,0.991,1.505,1.505,14.152429999999999,7.32258,7.3422600000000005,7.30015,7.319710000000001,7.30015,7.319710000000001,7.30015,3.84374,71.98621999999999,72.01379,0.6440899999999999,0.6440899999999999,management,0.75333,0.75333,18.33044,18.33304,52994.93,52245.02,18.19156,18.19156,522578.7,515292.0,7.63955,7.57275,34.21577,32.81804,32.82493,7.6379399999999995,11.13613,11.08398,11.081660000000001
6,perShare,AA,22.15754,22.15754,-0.75676,-0.75472,4.7365,4.7365,,,0.0,8.56604,-6.08108,-6.0629800000000005,-6.08108,-6.0629800000000005,-6.08108,-6.0629800000000005,-2.46919,1.6549900000000002,56.39459,56.24259,21.06906,22.15754,management,0.67828,0.67828,4.93041,4.93041,-61366.91,-61811.59,15.16424,15.16424,750575.6,756014.5,-5.5456199999999995,-0.52405,-5.70377,-23.12436,-23.12436,-5.5456199999999995,-0.74243,-7.92125,-7.92125
7,perShare,AXP,28.48272,28.48272,9.47711,9.47425,29.37531,29.37531,1.328,1.6,1.6,11.50136,8.00845,8.00966,7.989160000000001,7.990360000000001,7.989160000000001,7.990360000000001,7.989160000000001,12.72508,54.355419999999995,54.33905,24.060489999999998,28.48272,management,0.2332,0.2332,,,,,0.80481,0.80481,,,3.4937199999999997,3.34681,27.494040000000002,29.23657,29.23657,3.4937199999999997,6.10306,6.53072,6.46358
8,perShare,DD,55.49547,55.49547,3.3713,3.3697199999999996,2.08513,2.08513,,2.16,2.16,7.98232,-0.95136,-0.94386,-0.95136,-0.94531,0.66595,0.66681,1.3776,-13.378420000000002,28.82487,28.811359999999997,-7.79485,-7.79485,management,0.16725,0.16725,3.3363400000000003,3.3363400000000003,-10210.53,-19400.0,5.91314,5.9524099999999995,323488.7,614628.6,-0.52789,,,-1.04968,-1.04968,-0.52789,,-0.78309,-0.78309
9,perShare,BABA,27.19298,39.50819,6.27405,10.86016,11.06978,18.76914,,,0.0,8.01943,4.7861,9.29875,4.70763,9.16078,4.70763,9.16078,4.83413,10.662,20.25163,26.084,9.03743,21.549960000000002,management,0.44803999999999994,0.43701,31.23208,,133389.8,237561.9,20.60383,,630957.7,675913.1,9.47188,12.890989999999999,22.94201,28.53605,20.4177,15.359620000000001,17.82978,13.8339,22.157729999999997
10,perShare,ABT,17.63855,17.63855,3.71421,3.71434,2.3489299999999997,2.3489299999999997,1.092,1.28,1.28,4.31458,2.0367599999999997,2.03628,2.0219,2.02145,2.07019,2.06985,2.12158,1.2510299999999999,17.913529999999998,17.914170000000002,-5.18127,-5.18127,management,0.47243999999999997,0.47243999999999997,3.25345,3.25345,34295.24,33654.21,6.01565,6.01565,303847.6,298168.2,5.33244,3.9560400000000002,8.91819,11.68928,11.68928,5.33244,4.6826300000000005,6.27494,6.27494
11,perShare,AMAT,8.96725,9.42329,3.22222,3.41635,3.9497800000000005,4.30903,0.524,0.82,0.83,4.181719999999999,2.86233,3.05497,2.8381,3.0247,2.86349,3.0247,2.89974,2.3719900000000003,15.4582,16.05238,5.08624,5.570180000000001,management,0.79701,0.7762899999999999,2.2854799999999997,2.35206,124744.2,128500.0,5.770490000000001,5.6044,679441.9,682590.9,14.63295,16.19795,34.427240000000005,33.5171,35.6199,14.613970000000002,21.03806,18.9621,18.633010000000002
12,perShare,AMGN,16.3561,16.3561,16.49918,16.50595,15.067639999999999,15.067639999999999,4.5680000000000005,5.8,5.8,19.5154,12.96198,12.94968,12.87685,12.87594,12.87685,12.87594,12.94308,8.251330000000001,38.36125,38.376999999999995,-41.330740000000006,-41.330740000000006,management,0.37046,0.37046,1.33538,1.33538,349309.6,335128.2,6.11811,6.11811,1040624.0,998376.1,12.43548,10.83259,34.36295,70.73468000000001,70.73468000000001,12.43548,12.6749,15.71543,15.71543
13,perShare,AAL,-0.27557,-0.27557,9.91741,9.01031,8.93502,8.93502,0.4,0.4,0.4,13.613370000000002,3.80275,3.81132,3.795,3.8046300000000004,3.795,3.8046300000000004,5.25582,-1.42031,103.0187,103.0187,-14.696320000000002,-14.696320000000002,management,0.7591600000000001,0.7591600000000001,10.45775,10.45835,12875.14,12676.69,26.486109999999996,26.486109999999996,349507.4,344120.3,2.7966,5.81756,163.4067,,,2.7966,8.195319999999999,4.00627,4.00627
14,perShare,AIG,75.48859,75.48859,10.23595,10.23598,3.2827599999999997,3.2827599999999997,1.186,1.28,1.28,19.28592,3.73881,3.73861,3.68517,3.68422,3.7391300000000003,3.73777,4.97855,-2.39121,56.12066,56.12085,75.48859,75.48859,management,0.09817000000000001,0.09817000000000001,,,86213.39,89586.95,,,1044351.0,1085217.0,0.81038,0.27246,1.43575,5.393619999999999,5.393619999999999,0.81038,,,
15,perShare,ALL,81.49843,81.49843,15.38231,15.963429999999999,1.05956,1.05956,1.528,1.96,1.96,38.32721,14.2535,14.3048,14.02699,14.064670000000001,14.02699,14.064670000000001,14.478110000000001,11.7185,134.1019,134.0718,73.52038,73.52038,management,0.38521,0.38521,,,106621.2,105875.9,,,983787.9,976911.3,4.174869999999999,2.54839,13.48055,21.69155,21.69155,4.174869999999999,,,
16,perShare,ADBE,21.83144,21.66667,7.50873,8.19333,8.65983,8.63561,,,0.0,8.754769999999999,6.0754,6.67771,6.01013,6.60525,6.0041199999999995,6.59921,6.33064,8.79577,22.72566,23.797439999999998,-3.90101,-3.83437,management,0.56519,0.57276,,,134319.0,142934.2,7.66657,8.16895,507890.1,515213.9,14.947289999999999,12.548589999999999,22.55049,31.81643,29.70413,15.890020000000002,16.67728,21.85296,21.440739999999998
17,perShare,GOOGL,292.6511,292.6511,65.84154000000001,65.84151,173.8616,173.8616,,,0.0,68.11048000000001,49.58591,49.60873,49.16284,49.18188,49.16284,49.18188,51.26832,44.33716,231.7023,231.7022,259.8139,259.8139,management,0.63635,0.63635,68.2773,68.2773,315551.1,288841.8,7.01226,7.01226,1487178.0,1361298.0,13.502229999999999,13.021519999999999,16.55586,18.11961,18.11961,13.502229999999999,15.016110000000001,16.01595,16.01595
18,perShare,ACN,22.64201,24.26174,8.403789999999999,9.598510000000001,9.63256,8.52922,2.448,2.92,3.06,11.92468,7.4896199999999995,7.8048399999999996,7.360460000000001,7.6989399999999995,7.360460000000001,7.6989399999999995,7.360460000000001,6.13448,66.46369,69.05828000000001,11.569560000000001,12.33545,management,1.5935,1.46668,,,10191.88,10246.84,5.54343,5.35783,90883.3,90763.82,17.86996,18.665570000000002,45.56673,34.51143,38.58205,16.55821,34.10432,30.057190000000002,26.081429999999997
19,perShare,ABBV,-5.52569,-5.52569,6.670489999999999,6.66936,26.99553,26.99553,2.946,4.28,4.28,10.48139,5.29507,5.290690000000001,5.28437,5.28052,5.28437,5.28052,5.75749,4.315980000000001,22.416439999999998,22.412670000000002,-28.68664,-28.68664,management,0.44813000000000003,0.44813000000000003,4.45056,4.45056,262733.3,262733.3,6.15353,6.15353,1108867.0,1108867.0,10.61785,9.90276,1503.9660000000001,,,10.61785,12.71555,13.63161,13.63161
20,perShare,LLY,2.72254,2.72254,6.27402,6.27419,2.54667,2.54667,2.19,2.58,2.58,7.504980000000001,4.981319999999999,5.03028,4.95669,5.0045,8.89018,8.74485,5.70063,1.14711,23.85367,23.85431,-8.03164,-8.03164,management,0.53656,0.53656,1.50146,1.50146,128287.1,137930.1,4.32377,4.32377,617370.9,663776.9,11.14954,8.75525,29.84135,74.59069000000001,74.59069000000001,11.14954,12.27905,15.89449,15.89449
21,perShare,AGN,177.0347,177.0347,2.41945,2.4196400000000002,18.0003,18.0003,,2.96,2.96,18.45551,-16.021279999999997,-15.98465,-16.021279999999997,-15.98465,-16.021279999999997,-15.98465,-6.44362,17.72414,48.902429999999995,48.90615,-66.8451,-66.8451,management,0.16377,0.16377,2.46,2.5099,-307002.9,-302592.0,5.30952,5.30952,938128.3,924649.4,-5.35924,-3.71726,-6.7544,-8.55073,-8.55073,-5.35924,-4.00371,-5.86156,-5.86156
22,perShare,APA,8.65547,8.65547,-2.65782,-2.65959,0.65681,0.65681,1.0,1.0,1.0,8.06105,-9.4244,-9.42474,-9.4244,-9.42474,-9.4244,-9.42474,-4.19854,-1.14134,16.75066,16.761779999999998,8.65547,8.65547,management,0.31822,0.31822,3.20487,3.20487,-1118639.0,-1164085.0,5.5984,5.5984,1918578.0,1996522.0,-18.55426,-10.82437,-32.46741,-68.42560999999999,-68.42560999999999,-18.55426,-12.7355,-22.87951,-22.87951
23,perShare,ADP,12.43643,12.42334,6.175269999999999,6.68543,4.51336,3.4914300000000003,2.3080000000000003,2.96,3.16,8.46537,5.27195,5.68895,5.24063,5.65784,5.23949,5.65784,5.58387,2.06294,32.39305,33.33249,4.618609999999999,4.50903,management,0.35115,0.33031,,,39883.48,42467.24,6.40904,5.5535,246525.2,250194.8,5.68093,4.75231,37.5201,48.63797,45.25148,5.60651,23.612679999999997,25.91827,28.898770000000003
24,perShare,AKAM,22.57987,22.57987,5.58904,5.58904,9.48757,9.48757,,,0.0,6.223330000000001,2.93803,2.93863,2.9047,2.9049,2.9047,2.9049,3.09388,3.0152400000000004,17.58257,17.58257,11.59415,11.59415,management,0.46413999999999994,0.46413999999999994,,,62865.71,62031.46,5.6087,5.6087,379665.0,374626.8,7.68537,6.91569,10.31038,13.9576,13.9576,7.68537,7.854210000000001,9.07049,9.07049
25,perShare,NLY,11.04255,11.04255,-1.5641399999999999,-1.57671,1.2941200000000002,1.2941200000000002,1.18,1.1,1.1,-1.47563,-1.6025,-1.59101,-1.6025,-1.59101,-1.6025,-1.59101,-1.59376,-2.9186900000000002,0.64753,0.6476,10.97768,10.97768,management,0.00787,0.00787,,,-12186430.0,-11692380.0,25.25865,25.25865,5234659.0,5022443.0,-1.8324900000000002,0.28306,1.36475,-17.590629999999997,-17.590629999999997,-1.8324900000000002,1.2492299999999998,-8.50198,-8.50198
