,symbol,metric.netIncomeEmployeeAnnual,metric.revenueEmployeeAnnual,metric.receivablesTurnoverAnnual,metric.freeOperatingCashFlow/revenue5Y,metric.freeOperatingCashFlow/revenueTTM,metric.grossMargin5Y,metric.grossMarginAnnual,metric.netProfitMargin%Annual,metric.netProfitMargin5Y,metric.dividendGrowthRate5Y,metric.focfCagr5Y,metric.revenueGrowth5Y,metric.totalDebtCagr5Y,metric.netDebtAnnual,metric.peNormalizedAnnual,metric.pfcfShareAnnual,metric.currentEv/freeCashFlowAnnual,metric.freeCashFlowAnnual,metric.longTermDebt/equityAnnual,metric.netInterestCoverageAnnual,metric.payoutRatioAnnual,metric.quickRatioAnnual,metric.totalDebt/totalEquityAnnual,metric.dividendYield5Y,metric.dividendYieldIndicatedAnnual,metric.capitalSpendingGrowth5Y,metric.inventoryTurnoverAnnual
0,AAPL,410825.3,1934379.0,11.28444,19.40911,18.63398,38.71825,37.81777,21.23809,21.89832,11.2299,2.92073,7.31487,25.07771,7490.0,20.31081,23.58989,24.63068,44777.0,101.4576,23.609307,25.57007,1.50129,119.4048,1.4865,1.27584,1.35289,40.13446
1,BAC,133155.3,442932.0,6.690699,29.93606,61.20183000000001,52.764356500000005,54.0182875,30.06225,25.11008,38.20842,14.4085,6.61499,-2.10678,265997.0,6.67235,3.12944,59.99629749999999,55843.0,81.79525,22.7971585,23.64028,0.7653485,161.458,1.5899,3.59461,13.1395385,7.554974999999999
2,AMZN,16052.58,388131.4,15.07494,6.573060000000001,7.71885,38.28944,40.99001,4.13586,2.87305,19.5956895,61.86064,25.81346,21.04941,-13205.0,82.92384,43.83321,89.50989,21653.0,65.27393000000001,18.93359,38.788651,0.8636299999999999,67.37995,2.8827235,5.3954325,28.07419,8.78851
3,T,58268.48,705031.1,6.97392,5.05381,7.91697,53.18814,53.56278,8.264669999999999,8.60255,2.04138,89.50143,6.46819,14.79661,151017.0,12.31026,13.73074,41.24717,14345.0,82.1345,3.77371,108.1151,0.7531,88.56048,5.34235,7.57465,-1.72256,29.86371
4,MO,-155641.0,3219231.0,170.8163,3.70202,6.06133,47.07297,50.62923,-4.83473,25.37806,12.0189,20.14404,0.47503,13.79933,25925.0,12.56748,45.67776,37.291366,1522.0,434.6191,23.397624499999996,188.9570595,0.30964,450.6911,4.39064,8.98156,8.57992,5.3620199999999985
5,DAL,52994.93,522578.7,18.19156,5.5397,5.3375,56.52425,55.03861,10.14104,9.88168,30.640390000000004,0.50168,3.0950900000000003,2.92679,8278.0,3.07939,5.73508,15.82913,2509.0,57.77445,29.86099,20.57898,0.34637,72.66571,1.87505,6.221798499999999,17.02459,18.33044
6,AA,-61366.91,750575.6,15.16424,1.68556,2.94259,20.58388,18.1731,-8.175980000000001,-0.7802899999999999,0.9467180000000006,-5.0596,-4.5191,39.39567,921.0,22.055766,3.68197,25.996101,307.0,43.75,4.73514,28.205681500000004,0.7358600000000001,43.77432,3.2253009999999995,5.379952,-3.11618,4.93041
7,AXP,92113.79992499998,3445414.5670259795,0.80481,21.67494,23.41793,71.17527,68.48055,14.98171,15.005729999999998,10.37167,3.83233,5.47437,5.30105,113770.0,9.21248,5.61337,36.06486,10565.0,250.6827,28.810114499999997,20.47957,0.759717,596.2637,1.4349,2.33696,6.60059,12.022293000000001
8,DD,-10210.53,323488.7,5.91314,-4.064509,-46.43455,51.169464,34.65972,-3.15638,4.103707,-26.85745,4.663952500000001,7.055759999999999,16.955765000000003,15907.0,23.13444,42.883643500000005,47.075720000000004,-9989.0,33.22273,4.32707,40.252547500000006,0.68057,42.56716,3.3058040000000006,3.7653,9.705046,3.3363400000000003
9,BABA,133307.1,630566.6,20.60383,38.73537,40.87565,55.632,45.84337,21.14084,31.89409,13.5968865,40.1034,48.31799,26.73591,-9711.88,38.68744,30.81856,44.46643,16287.72,22.40821,27.485589500000003,0.0,1.26037,26.90973,3.0068145,5.806211500000001,49.34434,31.23208
10,ABT,34295.24,303847.6,6.01565,6.63616,6.98345,57.21955,58.63842,11.28699,8.805769999999997,7.16645,12.14634,9.52087,18.95916,13453.0,37.44851,62.88365,56.80487,2228.0,51.83672,8.01029,65.06526,1.04492,56.59097,1.82255,1.81246,8.747589999999999,3.25345
11,AMAT,124744.2,679441.9,5.7704900000000015,14.94699,14.77659,43.57922,43.71577,18.3598,20.22558,27.03338,13.63498,9.99616,22.23477,1695.0,14.58062,19.07909,22.10635,2035.0,57.37765,36.15789,28.70992,1.51383,64.68225,1.37989,2.08136,12.84552,2.28548
12,AMGN,349309.6,1040624.0,6.11811,28.34108,21.50073,81.75131999999998,81.35434000000002,33.56733,34.00721,13.18511,-2.50049,3.0914900000000003,-0.53441,20992.0,16.13835,24.52695,24.35245,5023.0,278.6106,18.13619,45.33282,1.15746,309.1389,2.48753,3.06396,-9.23101,1.33538
